date,category,region,channel,units,unit_price,discount,sales
2023-01-02,Home & Living,Dhaka,Store,3,4664.06,0.148,10974.38
2023-01-02,Home & Living,Dhaka,Store,1,4622.69,0.124,3712.9
2023-01-02,Home & Living,Chattogram,Online,1,3656.86,0.069,3592.86
2023-01-02,Home & Living,Dhaka,Online,1,3971.44,0.08,3632.62
2023-01-02,Beauty,Dhaka,Online,1,1518.81,0.129,1453.37
2023-01-02,Beauty,Dhaka,Online,4,1824.11,0.171,6537.2
2023-01-02,Beauty,Chattogram,Online,4,1457.41,0.012,5590.75
2023-01-02,Beauty,Rajshahi,Store,4,1654.26,0.129,5378.8
2023-01-02,Beauty,Rajshahi,Online,4,1480.12,0.066,5875.35
2023-01-02,Beauty,Dhaka,Store,4,837.89,0.035,3088.65
2023-01-02,Beauty,Chattogram,Online,7,1211.74,0.073,8580.25
2023-01-02,Beauty,Khulna,Online,2,1589.72,0.043,3057.2
2023-01-02,Sports,Dhaka,Online,1,3906.59,0.148,3982.87
2023-01-02,Sports,Chattogram,Store,1,4166.81,0.0,4689.71
2023-01-02,Sports,Rajshahi,Online,2,4526.03,0.011,11044.26
2023-01-02,Sports,Dhaka,Store,2,3741.96,0.078,7922.3
2023-01-02,Sports,Rajshahi,Online,1,2806.21,0.104,2801.76
2023-01-03,Electronics,Dhaka,Online,1,11768.81,0.028,10770.09
2023-01-03,Electronics,Rajshahi,Store,1,13111.51,0.14,10334.99
2023-01-03,Electronics,Dhaka,Online,1,13838.93,0.049,13821.35
2023-01-03,Fashion,Dhaka,Online,4,2803.42,0.0,10641.35
2023-01-03,Fashion,Dhaka,Store,1,1779.74,0.047,1637.9
2023-01-03,Fashion,Khulna,Online,3,2230.64,0.037,6559.91
2023-01-03,Fashion,Chattogram,Online,1,1853.26,0.011,1887.55
2023-01-03,Fashion,Dhaka,Online,2,1942.35,0.056,3440.26
2023-01-03,Fashion,Dhaka,Online,1,1208.91,0.114,1174.7
2023-01-03,Fashion,Chattogram,Online,4,2409.21,0.09,8869.8
2023-01-03,Home & Living,Dhaka,Online,1,3047.64,0.12,2727.19
2023-01-03,Home & Living,Rajshahi,Online,1,3549.53,0.061,3044.19
2023-01-03,Home & Living,Chattogram,Online,2,4600.53,0.152,7761.25
2023-01-03,Home & Living,Dhaka,Store,3,4328.32,0.084,11135.69
2023-01-03,Home & Living,Dhaka,Store,2,3750.55,0.109,6234.04
2023-01-03,Beauty,Rajshahi,Store,2,1435.42,0.121,2546.26
2023-01-03,Beauty,Dhaka,Store,1,1544.6,0.108,1332.28
2023-01-03,Beauty,Dhaka,Online,4,1205.32,0.039,4860.96
2023-01-03,Beauty,Dhaka,Store,4,1847.48,0.058,6478.69
2023-01-03,Beauty,Chattogram,Online,4,1214.24,0.054,4970.59
2023-01-03,Beauty,Dhaka,Store,2,1548.74,0.212,2495.89
2023-01-03,Beauty,Khulna,Store,5,2008.15,0.147,8436.26
2023-01-03,Beauty,Dhaka,Online,2,1515.05,0.135,2671.09
2023-01-03,Beauty,Rajshahi,Online,2,1226.73,0.0,2473.03
2023-01-03,Sports,Rajshahi,Online,1,3495.81,0.014,3901.37
2023-01-03,Sports,Dhaka,Online,2,2859.17,0.106,6425.51
2023-01-03,Sports,Dhaka,Store,1,3500.44,0.088,3743.5
2023-01-03,Sports,Khulna,Online,2,5119.05,0.025,10491.37
2023-01-04,Electronics,Dhaka,Store,3,9601.16,0.168,21715.82
2023-01-04,Electronics,Dhaka,Online,1,10478.34,0.044,10373.84
2023-01-04,Electronics,Dhaka,Store,1,9360.2,0.116,7620.18
2023-01-04,Electronics,Dhaka,Online,4,13281.1,0.065,44889.37
2023-01-04,Electronics,Rajshahi,Store,1,12704.45,0.017,12295.73
2023-01-04,Fashion,Khulna,Online,3,2185.1,0.135,6121.12
2023-01-04,Fashion,Dhaka,Online,1,2321.89,0.0,2385.63
2023-01-04,Fashion,Khulna,Store,3,1554.68,0.108,4210.43
2023-01-04,Fashion,Khulna,Online,1,2301.39,0.129,2046.0
2023-01-04,Fashion,Khulna,Online,2,1952.57,0.081,3350.66
2023-01-04,Fashion,Khulna,Online,1,1596.49,0.04,1489.37
2023-01-04,Fashion,Chattogram,Store,4,2440.6,0.004,8857.18
2023-01-04,Fashion,Khulna,Online,2,2271.22,0.063,4254.4
2023-01-04,Home & Living,Chattogram,Store,1,4143.73,0.111,3454.21
2023-01-04,Home & Living,Rajshahi,Online,5,3045.93,0.077,15437.62
2023-01-04,Home & Living,Khulna,Online,2,4818.77,0.087,7987.5
2023-01-04,Home & Living,Dhaka,Store,6,3137.7,0.105,15581.4
2023-01-04,Home & Living,Dhaka,Store,2,4511.9,0.0,9555.55
2023-01-04,Home & Living,Rajshahi,Online,2,4739.33,0.082,9224.66
2023-01-04,Home & Living,Khulna,Online,2,4895.39,0.096,9718.25
2023-01-04,Beauty,Khulna,Online,1,1490.64,0.092,1323.58
2023-01-04,Beauty,Chattogram,Store,2,1765.77,0.069,3581.79
2023-01-04,Beauty,Chattogram,Online,2,1544.94,0.105,2828.31
2023-01-04,Beauty,Dhaka,Store,1,1649.95,0.049,1523.42
2023-01-04,Beauty,Dhaka,Store,3,1883.54,0.051,5574.05
2023-01-04,Sports,Rajshahi,Store,1,3271.6,0.109,3105.49
2023-01-04,Sports,Khulna,Online,4,2398.42,0.017,10330.28
2023-01-04,Sports,Rajshahi,Online,1,3937.7,0.027,4035.72
2023-01-05,Electronics,Rajshahi,Store,6,14985.46,0.112,74427.73
2023-01-05,Electronics,Khulna,Online,1,11639.02,0.087,10282.35
2023-01-05,Electronics,Chattogram,Online,3,13766.35,0.006,45067.51
2023-01-05,Electronics,Dhaka,Store,3,12538.67,0.159,34603.7
2023-01-05,Electronics,Dhaka,Store,1,12379.18,0.1,10183.5
2023-01-05,Electronics,Dhaka,Store,1,8090.49,0.128,7230.55
2023-01-05,Electronics,Chattogram,Online,3,15381.53,0.077,44210.08
2023-01-05,Electronics,Dhaka,Store,3,13401.05,0.129,33080.07
2023-01-05,Fashion,Chattogram,Store,3,1704.39,0.152,4655.49
2023-01-05,Fashion,Khulna,Store,1,2480.26,0.116,2345.71
2023-01-05,Fashion,Dhaka,Online,1,2694.68,0.105,2406.35
2023-01-05,Fashion,Dhaka,Store,2,1906.63,0.079,3572.0
2023-01-05,Fashion,Dhaka,Store,1,2020.89,0.0,2063.34
2023-01-05,Fashion,Rajshahi,Online,2,1817.08,0.078,3182.29
2023-01-05,Fashion,Dhaka,Online,3,1852.98,0.082,4956.16
2023-01-05,Fashion,Dhaka,Online,1,2911.88,0.112,2743.77
2023-01-05,Fashion,Rajshahi,Online,1,2754.14,0.126,2183.19
2023-01-05,Home & Living,Dhaka,Online,3,3920.64,0.09,9769.38
2023-01-05,Home & Living,Chattogram,Online,3,4595.26,0.051,13506.79
2023-01-05,Home & Living,Dhaka,Online,1,3347.36,0.108,3095.78
2023-01-05,Home & Living,Chattogram,Online,1,4501.81,0.112,4194.09
2023-01-05,Home & Living,Khulna,Online,2,4369.69,0.132,7496.96
2023-01-05,Home & Living,Chattogram,Store,3,4805.18,0.089,12385.28
2023-01-05,Home & Living,Dhaka,Store,1,4573.49,0.093,3886.09
2023-01-05,Home & Living,Chattogram,Online,1,2952.23,0.077,2928.32
2023-01-05,Home & Living,Khulna,Online,2,4482.96,0.076,7894.44
2023-01-05,Beauty,Dhaka,Store,1,1768.99,0.055,1649.67
2023-01-05,Beauty,Rajshahi,Store,1,1728.71,0.141,1478.67
2023-01-05,Beauty,Chattogram,Store,2,1411.74,0.052,2440.79
2023-01-05,Beauty,Dhaka,Online,1,1464.65,0.028,1548.3
2023-01-05,Beauty,Chattogram,Online,1,1537.62,0.103,1482.81
2023-01-05,Sports,Rajshahi,Online,2,3674.24,0.047,7966.92
2023-01-05,Sports,Rajshahi,Store,5,3626.69,0.133,16406.82
2023-01-05,Sports,Dhaka,Store,1,2813.56,0.162,2797.67
2023-01-06,Electronics,Khulna,Online,2,14261.35,0.108,26794.88
2023-01-06,Electronics,Dhaka,Online,1,11626.16,0.081,10324.78
2023-01-06,Electronics,Dhaka,Store,2,10619.84,0.014,19827.49
2023-01-06,Electronics,Dhaka,Online,3,12127.75,0.136,31331.68
2023-01-06,Electronics,Khulna,Store,1,14208.75,0.202,11597.72
2023-01-06,Electronics,Rajshahi,Online,2,13639.29,0.094,23473.77
2023-01-06,Electronics,Dhaka,Store,2,8343.21,0.075,14787.71
2023-01-06,Fashion,Chattogram,Online,1,2931.26,0.091,2457.74
2023-01-06,Fashion,Khulna,Store,4,2386.9,0.087,8905.43
2023-01-06,Fashion,Rajshahi,Online,1,1644.57,0.167,1464.0
2023-01-06,Fashion,Dhaka,Store,2,2083.2,0.142,3697.44
2023-01-06,Fashion,Dhaka,Online,2,2450.98,0.101,4163.75
2023-01-06,Fashion,Rajshahi,Online,3,2777.96,0.0,8338.74
2023-01-06,Fashion,Dhaka,Online,2,2586.65,0.135,4919.46
2023-01-06,Home & Living,Chattogram,Online,2,3709.15,0.019,6660.18
2023-01-06,Home & Living,Dhaka,Online,2,4450.15,0.122,7878.55
2023-01-06,Home & Living,Dhaka,Store,5,4272.9,0.046,22275.62
2023-01-06,Home & Living,Dhaka,Store,1,4115.91,0.035,4181.33
2023-01-06,Beauty,Dhaka,Online,1,1636.01,0.109,1520.21
2023-01-06,Beauty,Chattogram,Store,1,1004.22,0.105,880.95
2023-01-06,Beauty,Rajshahi,Store,5,1381.58,0.138,6410.3
2023-01-06,Beauty,Dhaka,Store,2,1179.26,0.062,2300.53
2023-01-06,Beauty,Dhaka,Online,2,2165.52,0.065,4269.27
2023-01-06,Beauty,Dhaka,Store,1,1335.43,0.071,1124.76
2023-01-06,Beauty,Chattogram,Online,3,720.17,0.095,1803.94
2023-01-06,Beauty,Dhaka,Store,2,1314.06,0.077,2669.51
2023-01-06,Beauty,Khulna,Online,2,1400.85,0.045,2466.04
2023-01-06,Beauty,Dhaka,Store,4,1634.87,0.194,5196.5
2023-01-06,Beauty,Khulna,Store,1,1184.07,0.0,1263.19
2023-01-07,Electronics,Dhaka,Store,1,8805.55,0.089,7248.48
2023-01-07,Electronics,Dhaka,Online,3,7766.06,0.183,20374.91
2023-01-07,Electronics,Dhaka,Online,1,14523.35,0.037,13941.57
2023-01-07,Fashion,Khulna,Online,4,2212.67,0.042,7894.66
2023-01-07,Fashion,Dhaka,Online,1,2293.84,0.057,1980.34
2023-01-07,Fashion,Dhaka,Online,3,2675.36,0.047,7906.1
2023-01-07,Fashion,Dhaka,Online,1,2669.54,0.116,2252.44
2023-01-07,Fashion,Chattogram,Store,3,1703.97,0.055,4472.15
2023-01-07,Fashion,Khulna,Store,2,2776.43,0.17,4844.89
2023-01-07,Fashion,Dhaka,Online,1,2420.5,0.069,2131.41
2023-01-07,Fashion,Chattogram,Online,3,2112.38,0.066,6385.26
2023-01-07,Fashion,Khulna,Store,4,2101.52,0.16,7551.92
2023-01-07,Fashion,Dhaka,Online,1,2329.2,0.082,2329.92
2023-01-07,Fashion,Chattogram,Store,1,2521.83,0.109,2121.58
2023-01-07,Fashion,Rajshahi,Store,3,2423.94,0.0,7557.68
2023-01-07,Home & Living,Chattogram,Store,3,5173.71,0.059,13763.22
2023-01-07,Home & Living,Dhaka,Store,1,5104.65,0.05,4911.78
2023-01-07,Home & Living,Dhaka,Online,1,3606.62,0.112,3499.62
2023-01-07,Beauty,Dhaka,Store,1,1088.07,0.143,988.65
2023-01-07,Beauty,Chattogram,Store,2,1916.37,0.18,3184.49
2023-01-07,Beauty,Khulna,Online,3,1801.29,0.048,5368.7
2023-01-07,Beauty,Dhaka,Store,1,1306.46,0.0,1200.73
2023-01-07,Beauty,Rajshahi,Online,5,1405.6,0.093,6268.23
2023-01-07,Beauty,Dhaka,Store,2,1119.08,0.021,1985.89
2023-01-07,Beauty,Chattogram,Store,1,1587.26,0.073,1403.2
2023-01-07,Beauty,Dhaka,Online,1,1448.13,0.15,1229.22
2023-01-07,Beauty,Chattogram,Online,2,1743.05,0.119,2866.27
2023-01-07,Beauty,Dhaka,Store,3,1472.96,0.07,3920.25
2023-01-07,Beauty,Dhaka,Online,1,1417.97,0.158,1261.26
2023-01-07,Sports,Rajshahi,Online,1,1972.73,0.124,1929.05
2023-01-08,Electronics,Rajshahi,Store,3,12634.09,0.012,37234.94
2023-01-08,Electronics,Rajshahi,Online,1,11078.2,0.053,9986.68
2023-01-08,Electronics,Khulna,Online,1,12926.24,0.115,10472.67
2023-01-08,Electronics,Rajshahi,Store,1,9684.18,0.0,9052.42
2023-01-08,Electronics,Chattogram,Store,2,13337.37,0.183,19922.7
2023-01-08,Electronics,Dhaka,Online,1,10642.47,0.11,9028.82
2023-01-08,Fashion,Chattogram,Online,1,2549.71,0.076,2377.98
2023-01-08,Fashion,Chattogram,Store,3,1475.02,0.09,4269.84
2023-01-08,Fashion,Dhaka,Store,3,2391.95,0.038,7323.08
2023-01-08,Fashion,Khulna,Online,3,1983.58,0.054,6082.09
2023-01-08,Fashion,Rajshahi,Online,2,2275.84,0.092,4144.08
2023-01-08,Fashion,Dhaka,Online,3,2125.89,0.129,5186.92
2023-01-08,Fashion,Khulna,Online,3,1881.07,0.11,5392.61
2023-01-08,Fashion,Chattogram,Store,2,2134.5,0.145,3551.06
2023-01-08,Fashion,Dhaka,Online,1,2532.89,0.107,2084.01
2023-01-08,Fashion,Dhaka,Store,1,2502.38,0.143,2200.57
2023-01-08,Home & Living,Chattogram,Store,1,4643.54,0.056,4196.08
2023-01-08,Home & Living,Rajshahi,Store,1,4977.68,0.014,5346.56
2023-01-08,Home & Living,Dhaka,Online,2,4406.16,0.113,7928.95
2023-01-08,Home & Living,Rajshahi,Online,3,3795.29,0.075,11050.63
2023-01-08,Home & Living,Dhaka,Store,4,3492.81,0.134,12913.93
2023-01-08,Home & Living,Dhaka,Online,1,4477.67,0.172,3414.59
2023-01-08,Home & Living,Khulna,Online,1,2985.58,0.119,2529.5
2023-01-08,Beauty,Dhaka,Store,4,1593.83,0.138,5080.02
2023-01-08,Beauty,Khulna,Store,4,1011.29,0.046,3816.76
2023-01-08,Beauty,Chattogram,Online,3,1942.79,0.117,4884.01
2023-01-08,Beauty,Chattogram,Store,2,1533.27,0.108,2874.92
2023-01-08,Beauty,Dhaka,Online,1,1299.53,0.014,1276.49
2023-01-08,Beauty,Dhaka,Online,2,1120.29,0.076,2120.18
2023-01-08,Beauty,Chattogram,Online,1,1792.81,0.051,1728.64
2023-01-08,Beauty,Chattogram,Store,2,1260.72,0.093,2218.91
2023-01-08,Beauty,Chattogram,Store,3,1308.73,0.004,3854.77
2023-01-08,Sports,Dhaka,Online,1,4515.7,0.125,4201.56
2023-01-08,Sports,Dhaka,Online,1,4458.48,0.055,4435.05
2023-01-08,Sports,Rajshahi,Store,3,3437.89,0.081,11216.69
2023-01-08,Sports,Chattogram,Online,2,2779.45,0.085,5284.74
2023-01-08,Sports,Khulna,Store,2,3600.71,0.029,7805.74
2023-01-08,Sports,Khulna,Store,4,4130.37,0.046,17953.54
2023-01-09,Electronics,Chattogram,Store,1,9916.89,0.058,8467.31
2023-01-09,Electronics,Chattogram,Online,1,8363.77,0.04,8332.57
2023-01-09,Electronics,Dhaka,Online,2,10251.26,0.101,18410.68
2023-01-09,Electronics,Dhaka,Store,2,11809.14,0.061,20699.3
2023-01-09,Electronics,Chattogram,Store,1,11798.18,0.091,11574.68
2023-01-09,Electronics,Dhaka,Online,3,8606.91,0.024,25468.61
2023-01-09,Electronics,Dhaka,Online,3,9703.05,0.036,26390.26
2023-01-09,Electronics,Chattogram,Store,2,14076.67,0.0,26173.24
2023-01-09,Electronics,Dhaka,Online,4,16235.09,0.136,52838.11
2023-01-09,Fashion,Rajshahi,Store,4,2349.33,0.079,8647.56
2023-01-09,Fashion,Chattogram,Online,1,2453.36,0.044,2297.33
2023-01-09,Fashion,Dhaka,Online,4,2364.22,0.155,8741.28
2023-01-09,Fashion,Chattogram,Store,4,2146.44,0.13,7498.4
2023-01-09,Fashion,Khulna,Online,1,2975.0,0.068,2902.12
2023-01-09,Fashion,Rajshahi,Online,1,1951.82,0.123,1615.66
2023-01-09,Fashion,Khulna,Store,3,2403.96,0.116,5933.03
2023-01-09,Fashion,Chattogram,Online,4,1875.18,0.079,6795.28
2023-01-09,Fashion,Chattogram,Store,1,1450.13,0.091,1209.44
2023-01-09,Fashion,Dhaka,Online,1,2136.1,0.045,1961.29
2023-01-09,Home & Living,Chattogram,Store,1,4206.02,0.13,3628.53
2023-01-09,Home & Living,Khulna,Store,1,3364.35,0.119,3096.53
2023-01-09,Home & Living,Dhaka,Online,2,3641.47,0.124,6384.57
2023-01-09,Home & Living,Chattogram,Online,1,3578.25,0.136,2787.85
2023-01-09,Home & Living,Dhaka,Online,2,4823.77,0.037,8970.15
2023-01-09,Home & Living,Rajshahi,Online,2,4398.5,0.09,7917.65
2023-01-09,Home & Living,Chattogram,Store,1,4150.45,0.179,3337.17
2023-01-09,Home & Living,Rajshahi,Store,1,4594.82,0.039,4570.69
2023-01-09,Home & Living,Dhaka,Store,3,4665.52,0.14,10968.44
2023-01-09,Home & Living,Dhaka,Store,2,3783.79,0.019,7245.01
2023-01-09,Beauty,Chattogram,Online,1,1844.14,0.121,1565.19
2023-01-09,Beauty,Dhaka,Online,1,1411.27,0.11,1225.01
2023-01-09,Beauty,Dhaka,Online,1,1088.16,0.023,962.52
2023-01-09,Beauty,Rajshahi,Online,2,1479.11,0.081,2705.13
2023-01-09,Beauty,Dhaka,Online,2,1532.6,0.157,2834.27
2023-01-09,Beauty,Dhaka,Online,2,1764.83,0.043,3397.09
2023-01-09,Beauty,Rajshahi,Online,1,1766.94,0.012,1914.24
2023-01-09,Beauty,Dhaka,Online,4,1393.13,0.071,4905.02
2023-01-09,Beauty,Dhaka,Online,2,1645.01,0.083,2767.58
2023-01-09,Beauty,Dhaka,Store,1,1846.04,0.108,1675.97
2023-01-09,Sports,Dhaka,Online,2,3707.94,0.111,6931.44
2023-01-09,Sports,Chattogram,Store,2,3523.85,0.109,6860.38
2023-01-09,Sports,Chattogram,Online,1,4030.16,0.049,4380.1
2023-01-09,Sports,Dhaka,Store,1,3373.53,0.018,3593.77
2023-01-10,Electronics,Khulna,Store,2,12351.53,0.082,21317.43
2023-01-10,Electronics,Chattogram,Store,5,15897.39,0.07,70308.55
2023-01-10,Electronics,Dhaka,Online,1,15205.69,0.098,13746.23
2023-01-10,Electronics,Rajshahi,Store,2,9299.12,0.11,15993.39
2023-01-10,Electronics,Khulna,Online,1,11056.69,0.077,10192.23
2023-01-10,Electronics,Rajshahi,Store,1,9096.71,0.0,9580.49
2023-01-10,Electronics,Khulna,Online,2,12877.99,0.001,25057.39
2023-01-10,Electronics,Dhaka,Online,2,8703.25,0.082,14543.7
2023-01-10,Electronics,Khulna,Online,3,16269.11,0.002,48991.11
2023-01-10,Electronics,Dhaka,Store,4,11724.49,0.156,39670.87
2023-01-10,Electronics,Dhaka,Store,1,11208.94,0.102,9220.72
2023-01-10,Fashion,Chattogram,Online,1,2337.68,0.056,1991.26
2023-01-10,Fashion,Dhaka,Store,1,1769.45,0.026,1634.62
2023-01-10,Fashion,Dhaka,Online,2,2463.86,0.103,4360.78
2023-01-10,Fashion,Rajshahi,Store,2,2510.22,0.067,4980.15
2023-01-10,Fashion,Dhaka,Store,2,2233.79,0.04,4480.25
2023-01-10,Fashion,Khulna,Store,2,2457.58,0.005,4702.72
2023-01-10,Fashion,Rajshahi,Store,1,2990.28,0.235,2231.25
2023-01-10,Fashion,Khulna,Online,4,2463.71,0.101,8477.16
2023-01-10,Fashion,Rajshahi,Online,1,2619.05,0.127,2320.27
2023-01-10,Fashion,Dhaka,Store,1,2475.43,0.122,2126.76
2023-01-10,Fashion,Khulna,Online,1,1598.92,0.062,1564.45
2023-01-10,Home & Living,Khulna,Store,2,3355.44,0.029,7012.97
2023-01-10,Home & Living,Dhaka,Store,1,5116.23,0.093,5028.08
2023-01-10,Home & Living,Dhaka,Store,1,2857.17,0.1,2476.36
2023-01-10,Home & Living,Dhaka,Online,2,3794.93,0.0,7888.81
2023-01-10,Home & Living,Khulna,Online,3,3303.79,0.106,8734.88
2023-01-10,Home & Living,Chattogram,Online,1,4459.9,0.078,3766.43
2023-01-10,Beauty,Rajshahi,Store,1,1251.1,0.03,1254.64
2023-01-10,Beauty,Chattogram,Store,1,1352.4,0.066,1290.44
2023-01-10,Beauty,Dhaka,Online,1,1821.28,0.131,1621.68
2023-01-10,Beauty,Chattogram,Store,3,1648.9,0.097,4210.38
2023-01-10,Beauty,Rajshahi,Online,2,1086.6,0.106,1928.4
2023-01-10,Beauty,Rajshahi,Online,1,1266.61,0.073,1235.27
2023-01-10,Beauty,Dhaka,Store,1,1972.39,0.149,1728.4
2023-01-10,Beauty,Dhaka,Online,1,1579.44,0.068,1545.27
2023-01-10,Sports,Khulna,Online,1,4574.16,0.065,5034.7
2023-01-10,Sports,Chattogram,Online,6,4392.72,0.114,28192.51
2023-01-11,Electronics,Chattogram,Store,3,10691.34,0.166,26508.46
2023-01-11,Electronics,Dhaka,Online,1,10812.96,0.123,9399.91
2023-01-11,Electronics,Khulna,Online,1,13713.25,0.079,11659.58
2023-01-11,Electronics,Khulna,Store,2,13172.24,0.028,27627.86
2023-01-11,Electronics,Chattogram,Online,1,9823.12,0.024,9128.97
2023-01-11,Electronics,Rajshahi,Store,1,13040.83,0.107,11220.81
2023-01-11,Electronics,Dhaka,Online,1,13528.49,0.08,13409.33
2023-01-11,Fashion,Dhaka,Online,1,2244.39,0.167,1746.76
2023-01-11,Fashion,Dhaka,Online,1,1919.01,0.017,1741.64
2023-01-11,Fashion,Dhaka,Store,1,2142.15,0.05,1930.89
2023-01-11,Fashion,Khulna,Online,2,2731.31,0.0,5691.21
2023-01-11,Fashion,Dhaka,Online,3,1798.5,0.084,5057.54
2023-01-11,Fashion,Rajshahi,Online,1,1805.66,0.113,1571.62
2023-01-11,Fashion,Khulna,Online,2,3237.83,0.024,6495.88
2023-01-11,Fashion,Khulna,Store,1,2311.13,0.168,2057.35
2023-01-11,Fashion,Rajshahi,Store,1,2105.39,0.152,1677.43
2023-01-11,Fashion,Dhaka,Online,1,2690.03,0.057,2746.88
2023-01-11,Fashion,Khulna,Online,4,1959.75,0.091,6968.61
2023-01-11,Fashion,Dhaka,Online,3,1703.3,0.006,4650.41
2023-01-11,Home & Living,Dhaka,Store,2,4652.69,0.113,8350.39
2023-01-11,Home & Living,Khulna,Online,4,4509.78,0.037,17835.06
2023-01-11,Home & Living,Khulna,Store,2,4349.15,0.096,8039.66
2023-01-11,Home & Living,Dhaka,Online,2,5567.84,0.069,9915.69
2023-01-11,Beauty,Dhaka,Store,3,1322.38,0.123,3623.07
2023-01-11,Beauty,Chattogram,Online,2,1661.25,0.033,3040.89
2023-01-11,Beauty,Chattogram,Online,4,1570.32,0.053,5805.65
2023-01-11,Beauty,Dhaka,Store,1,1410.19,0.105,1280.34
2023-01-11,Beauty,Chattogram,Online,3,1590.47,0.096,4107.78
2023-01-11,Beauty,Rajshahi,Online,1,1704.33,0.111,1628.33
2023-01-11,Sports,Chattogram,Online,1,3475.24,0.073,3923.49
2023-01-12,Electronics,Chattogram,Store,3,12835.51,0.135,33839.45
2023-01-12,Electronics,Chattogram,Store,4,10232.19,0.157,32735.24
2023-01-12,Fashion,Khulna,Store,3,2200.55,0.016,6761.17
2023-01-12,Fashion,Khulna,Online,1,2687.43,0.164,2107.67
2023-01-12,Fashion,Khulna,Store,2,2815.45,0.123,5288.37
2023-01-12,Fashion,Rajshahi,Store,2,2295.56,0.022,4299.52
2023-01-12,Fashion,Chattogram,Store,2,2170.72,0.057,3762.32
2023-01-12,Fashion,Khulna,Store,2,2449.29,0.04,4515.07
2023-01-12,Fashion,Chattogram,Store,1,2300.25,0.121,2219.3
2023-01-12,Fashion,Khulna,Store,1,1995.49,0.07,2037.36
2023-01-12,Fashion,Dhaka,Online,1,1936.15,0.071,1699.03
2023-01-12,Fashion,Khulna,Store,1,2098.55,0.068,2146.88
2023-01-12,Fashion,Dhaka,Online,1,1957.37,0.133,1634.13
2023-01-12,Home & Living,Dhaka,Online,1,4866.17,0.061,4265.56
2023-01-12,Home & Living,Dhaka,Store,2,4378.73,0.027,8554.83
2023-01-12,Home & Living,Khulna,Online,1,4139.07,0.038,3836.64
2023-01-12,Home & Living,Rajshahi,Online,2,5585.41,0.121,10394.76
